Serial_number:
2016616
Project ID:
UGP 2013-2014
Location:
Forrester Creek
LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/02/05,11:30:00,0,100.230,31.70
2016/02/05,11:35:00,0,100.211,30.80
2016/02/05,11:40:00,0,100.200,30.90
2016/02/05,11:45:00,0,100.195,30.30
2016/02/05,11:50:00,0,100.187,29.80
2016/02/05,11:55:00,0,100.187,29.40
2016/02/05,12:00:00,0,100.175,29.10
2016/02/05,12:05:00,0,100.173,28.90
2016/02/05,12:10:00,0,100.164,28.70
2016/02/05,12:15:00,0,100.163,28.60
2016/02/05,12:20:00,0,100.152,28.50
2016/02/05,12:25:00,0,100.141,28.40
2016/02/05,12:30:00,0,100.133,28.30
2016/02/05,12:35:00,0,100.135,28.30
2016/02/05,12:40:00,0,100.135,28.30
2016/02/05,12:45:00,0,100.128,28.20
2016/02/05,12:50:00,0,100.119,28.20
2016/02/05,12:55:00,0,100.125,28.20
2016/02/05,13:00:00,0,100.123,28.20
2016/02/05,13:05:00,0,100.123,28.20
2016/02/05,13:10:00,0,100.124,28.20
2016/02/05,13:15:00,0,100.106,28.10
2016/02/05,13:20:00,0,100.102,28.10
2016/02/05,13:25:00,0,100.090,28.10
2016/02/05,13:30:00,0,100.091,28.10
2016/02/05,13:35:00,0,100.085,28.10
2016/02/05,13:40:00,0,100.079,28.10
2016/02/05,13:45:00,0,100.076,28.10
2016/02/05,13:50:00,0,100.074,28.10
2016/02/05,13:55:00,0,100.067,28.10
2016/02/05,14:00:00,0,100.062,28.10
2016/02/05,14:05:00,0,100.062,28.10
2016/02/05,14:10:00,0,100.047,28.10
2016/02/05,14:15:00,0,100.048,28.10
2016/02/05,14:20:00,0,100.049,28.10
2016/02/05,14:25:00,0,100.050,28.10
2016/02/05,14:30:00,0,100.048,28.10
2016/02/05,14:35:00,0,100.036,28.00
2016/02/05,14:40:00,0,100.039,28.00
2016/02/05,14:45:00,0,100.038,28.00
2016/02/05,14:50:00,0,100.044,28.00
2016/02/05,14:55:00,0,100.042,28.00
2016/02/05,15:00:00,0,100.039,28.00
2016/02/05,15:05:00,0,100.040,28.00
2016/02/05,15:10:00,0,100.043,28.00
2016/02/05,15:15:00,0,100.042,28.00
2016/02/05,15:20:00,0,100.031,28.00
2016/02/05,15:25:00,0,100.032,28.00
2016/02/05,15:30:00,0,100.023,28.00
2016/02/05,15:35:00,0,100.019,28.00
2016/02/05,15:40:00,0,100.022,28.00
2016/02/05,15:45:00,0,100.019,28.00
2016/02/05,15:50:00,0,100.012,28.00
2016/02/05,15:55:00,0,100.018,28.00
2016/02/05,16:00:00,0,100.021,28.00
2016/02/05,16:05:00,0,100.015,28.00
2016/02/05,16:10:00,0,100.018,28.00
2016/02/05,16:15:00,0,100.008,28.00
2016/02/05,16:20:00,0,99.999,27.90
2016/02/05,16:25:00,0,100.001,27.90
2016/02/05,16:30:00,0,100.006,27.90
2016/02/05,16:35:00,0,100.008,27.90
2016/02/05,16:40:00,0,100.007,27.90
2016/02/05,16:45:00,0,100.010,27.90
2016/02/05,16:50:00,0,100.020,27.90
2016/02/05,16:55:00,0,100.027,27.90
2016/02/05,17:00:00,0,100.032,27.90
2016/02/05,17:05:00,0,100.042,27.90
2016/02/05,17:10:00,0,100.038,27.90
2016/02/05,17:15:00,0,100.043,27.90
2016/02/05,17:20:00,0,100.040,27.90
2016/02/05,17:25:00,0,100.043,27.90
2016/02/05,17:30:00,0,100.051,27.90
2016/02/05,17:35:00,0,100.048,27.90
2016/02/05,17:40:00,0,100.050,27.90
2016/02/05,17:45:00,0,100.057,27.90
2016/02/05,17:50:00,0,100.065,27.90
2016/02/05,17:55:00,0,100.064,27.90
2016/02/05,18:00:00,0,100.079,27.90
2016/02/05,18:05:00,0,100.087,27.90
2016/02/05,18:10:00,0,100.089,27.90
2016/02/05,18:15:00,0,100.092,27.90
2016/02/05,18:20:00,0,100.099,27.90
2016/02/05,18:25:00,0,100.104,27.90
2016/02/05,18:30:00,0,100.117,27.90
2016/02/05,18:35:00,0,100.108,27.80
2016/02/05,18:40:00,0,100.112,27.80
2016/02/05,18:45:00,0,100.115,27.80
2016/02/05,18:50:00,0,100.119,27.80
2016/02/05,18:55:00,0,100.121,27.80
2016/02/05,19:00:00,0,100.132,27.80
2016/02/05,19:05:00,0,100.137,27.80
2016/02/05,19:10:00,0,100.138,27.80
2016/02/05,19:15:00,0,100.146,27.80
2016/02/05,19:20:00,0,100.151,27.80
2016/02/05,19:25:00,0,100.164,27.80
2016/02/05,19:30:00,0,100.173,27.80
2016/02/05,19:35:00,0,100.186,27.80
2016/02/05,19:40:00,0,100.190,27.80
2016/02/05,19:45:00,0,100.193,27.80
2016/02/05,19:50:00,0,100.194,27.80
2016/02/05,19:55:00,0,100.199,27.80
2016/02/05,20:00:00,0,100.198,27.80
2016/02/05,20:05:00,0,100.211,27.80
2016/02/05,20:10:00,0,100.226,27.80
